strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
random_same_freq_hold_10,001389,广合科技,PCB,5,40.0,-3.59,-36.67,-0.1,0.41,10.0,401.47,-405.06
v1_tianma_exit,600183,生益科技,覆铜板CCL,3,33.33,77.26,-18.04,4.28,32.77,22.3,819.01,-741.75
tianma_hold_10,600183,生益科技,覆铜板CCL,4,75.0,35.72,-21.09,1.69,8.8,10.0,819.01,-783.29
tianma_hold_20,600183,生益科技,覆铜板CCL,4,75.0,84.51,-17.89,4.73,18.26,20.0,819.01,-734.5
macd_zero_hold_10,600183,生益科技,覆铜板CCL,14,64.29,62.53,-31.08,2.01,4.54,10.0,819.01,-756.48
kdj_any_hold_10,600183,生益科技,覆铜板CCL,18,61.11,127.48,-32.14,3.97,5.63,10.0,819.01,-691.53
random_same_freq_hold_10,600183,生益科技,覆铜板CCL,4,75.0,17.23,-18.83,0.92,7.59,10.0,819.01,-801.78
v1_tianma_exit,603186,华正新材,覆铜板CCL,4,50.0,-2.91,-16.58,-0.18,-0.32,14.0,893.73,-896.64
tianma_hold_10,603186,华正新材,覆铜板CCL,3,33.33,3.18,-11.13,0.29,1.57,10.0,893.73,-890.55
tianma_hold_20,603186,华正新材,覆铜板CCL,3,100.0,34.96,-16.58,2.11,11.43,20.0,893.73,-858.77
macd_zero_hold_10,603186,华正新材,覆铜板CCL,15,60.0,148.23,-18.9,7.84,7.47,10.0,893.73,-745.5
kdj_any_hold_10,603186,华正新材,覆铜板CCL,14,50.0,20.64,-28.8,0.72,1.96,10.0,893.73,-873.09
random_same_freq_hold_10,603186,华正新材,覆铜板CCL,4,75.0,48.42,-10.25,4.72,11.12,10.0,893.73,-845.31
v1_tianma_exit,002636,金安国纪,覆铜板CCL,1,100.0,9.37,-3.71,2.52,9.66,27.0,1688.2,-1678.83
tianma_hold_10,002636,金安国纪,覆铜板CCL,1,100.0,3.95,-3.05,1.3,4.22,10.0,1688.2,-1684.25
tianma_hold_20,002636,金安国纪,覆铜板CCL,1,100.0,12.36,-3.55,3.48,12.65,20.0,1688.2,-1675.84
macd_zero_hold_10,002636,金安国纪,覆铜板CCL,15,53.33,106.68,-38.74,2.75,6.19,10.0,1688.2,-1581.52
kdj_any_hold_10,002636,金安国纪,覆铜板CCL,18,55.56,144.87,-33.56,4.32,7.16,10.0,1688.2,-1543.33
random_same_freq_hold_10,002636,金安国纪,覆铜板CCL,1,100.0,-0.03,-2.3,-0.01,0.23,10.0,1688.2,-1688.23
v1_tianma_exit,000938,紫光股份(新华三),交换机/网络设备,6,33.33,-2.03,-27.2,-0.07,0.24,14.7,36.57,-38.6
tianma_hold_10,000938,紫光股份(新华三),交换机/网络设备,7,57.14,3.68,-15.77,0.23,0.9,10.0,36.57,-32.89
tianma_hold_20,000938,紫光股份(新华三),交换机/网络设备,5,40.0,41.38,-20.6,2.01,6.26,20.0,36.57,4.81
macd_zero_hold_10,000938,紫光股份(新华三),交换机/网络设备,14,50.0,-11.92,-29.36,-0.41,-0.41,10.0,36.57,-48.49
kdj_any_hold_10,000938,紫光股份(新华三),交换机/网络设备,14,57.14,-0.9,-20.96,-0.04,0.45,10.0,36.57,-37.47
random_same_freq_hold_10,000938,紫光股份(新华三),交换机/网络设备,6,33.33,-11.85,-25.31,-0.47,-1.64,10.0,36.57,-48.42
v1_tianma_exit,301165,锐捷网络,交换机/网络设备,2,100.0,76.43,-12.87,5.94,9.36,17.0,563.03,-486.6
tianma_hold_10,301165,锐捷网络,交换机/网络设备,3,100.0,47.07,-6.34,7.42,14.74,10.0,563.03,-515.96
tianma_hold_20,301165,锐捷网络,交换机/网络设备,2,100.0,79.39,-12.11,6.56,10.37,20.0,563.03,-483.64
macd_zero_hold_10,301165,锐捷网络,交换机/网络设备,13,61.54,134.71,-23.32,5.78,7.95,10.0,563.03,-428.32
